#TYPE System.Management.Automation.PSCustomObject
"Name","PathName","Hash","DateAdded"
"nipalusbedl","C:\Windows\system32\drivers\nipalusbedl.sys","0364CD30C6AB0C6D5817358DB2851A60","9/27/2013"
"","","036F1CF5992508B057E9A5EAB0E06724","9/11/2013"
"netcfgx.dll","C:\Windows\system32\netcfgx.dll","03706015DB44368375AEBE6339490E66","7/25/2013"
"accrypto.dll","C:\Program Files\Common Files\ActivIdentity\accrypto.dll","0377ADDA523022B9C2B3CE250526C2E3","9/27/2013"
"PresentationFramework.dll","C:\Windows\assembly\GAC_MSIL\PresentationFramework\3.0.0.0__31bf3856ad364e35\PresentationFramework.dll","0378CC8C7B47EEB225B45EAFBB02F186","9/27/2013"
"dchbas32.dll","C:\Windows\system32\dchbas32.dll","0378DF98AF0E3E1F70DAF96F5D725056","9/27/2013"
"","","037A719DAD50603202C978CD802623E4","9/11/2013"
"LSI_SAS2","C:\Windows\system32\drivers\lsi_sas2.sys","037A8A5224A96CB73C65BAE582786AF5","9/27/2013"
"","","037E6A991FB271CFE47A2EE703AFC092","9/11/2013"
"","","0382CEED602324513EE428F47210E5A1","9/11/2013"
"","","03911D9A5D15A80301E767F787C0B015","9/11/2013"
"","","0392C4FCE14E23040B5ACE69672A03BD","9/11/2013"
"ni488lock","C:\Windows\system32\drivers\ni488lock.sys","03999C6E35E0B9436874AED2B29AD6C3","9/27/2013"
"","","03A0F544FB85713FA3F306E76A89215E","9/11/2013"
"","","03A7E0922ACFE1B07D5DB2EEB0773063","9/11/2013"
"msdtcVSp1res.dll","C:\Windows\System32\msdtcVSp1res.dll","03AAA0FB8F01E4502EAAD38CD9571F8E","8/30/2013"
"EhStorAPI.dll","C:\Windows\system32\EhStorAPI.dll","03AB2A2E426C2AD400AC8315226347F8","8/3/2013"
"","","03AC6735672F15CEAAB502E4349286E0","9/11/2013"
"libmmd.dll","d:\app\oracle\product\11.2.0.3\dbhome_2\bin\libmmd.dll","03C100E3300D394D0DE2F965783D6CDE","9/27/2013"
"","","03C4BADC2D26274E033D52C75C7658DF","9/11/2013"
"","","03C74719D48056A1078F3A51CEB76BAA","9/11/2013"
"","","03CE989D846C1AA81145CB22FCB86D06","9/11/2013"
"","","03D49349EA7F2AEE2FA54CA51210981E","9/11/2013"
"","C:\Windows\system32\ssdpsrv.dll","03D50B37234967433A5EA5BA72BC0B62","9/27/2013"
"","","03E0FE281823BA64B3782F5B38950E73","9/11/2013"
"","","03E27723363768B1AA0ADA9CFF70412C","9/11/2013"
"CompositeBus","C:\windows\system32\DRIVERS\CompositeBus.sys","03EDB043586CCEBA243D689BDDA370A8","7/25/2013"
"","","03F0545BD8D4C77FA0AE1CEEDFCC71AB","9/11/2013"
"tcpmib.dll","C:\Windows\System32\tcpmib.dll","03F364F70669D6CCDFBB648C735A1CC1","7/25/2013"
"","","03F3B770DFBED6131653CEDA8CA780F0","9/11/2013"
"","","03F43D65C46D27B650EEF569FFF8F253","9/11/2013"
"","","03F4C5C12FC1C69F838DA723475EF650","9/11/2013"
"","","03F6CF42A1DB74290448CDE668578C87","9/11/2013"
"","","03F97E186684BE24F7CC9D1CC107502D","9/11/2013"
"","","040A3B1129B99A27F039BF69C7EB8AE8","9/11/2013"
"T2EMBED.DLL","C:\Windows\system32\T2EMBED.DLL","040B198DA82AC2C4DB22E088BBAFD10B","7/25/2013"
"mrxsmb","C:\Windows\system32\DRIVERS\mrxsmb.sys","040D62A9D8AD28922632137ACDD984F2","10/24/2013"
"","","0410477238919617FD13C1B0AB41818B","9/11/2013"
"","","04105C8DA62353589C29BDAEB8D88BD8","9/11/2013"
"","","04188351109A3366CE61A7BC8C830611","9/11/2013"
"System.Xml.Linq.dll","C:\Windows\Microsoft.Net\assembly\GAC_MSIL\System.Xml.Linq\v4.0_4.0.0.0__b77a5c561934e089\System.Xml.Linq.dll","042428A4028887F239D3FA4D950AA929","9/27/2013"
"","C:\Windows\system32\fdphost.dll","0438CAB2E03F4FB61455A7956026FE86","9/27/2013"
"","","043FE3C9088BEADC6A9FFC033C84F20F","9/11/2013"
"FXSWZRD.dll","C:\Windows\system32\spool\DRIVERS\W32X86\3\FXSWZRD.dll","044282B29B1ED694CAFB58F2A7A37CBF","9/27/2013"
"","","044452051F3E02E7963599FC8F4F3E25","9/11/2013"
"","","044FE45FFD6AD40E3BBBE60B7F41BABE","9/11/2013"
"","","0450CF487ECD8A67B56F59F9A96D024D","9/11/2013"
"","","04532CA0485B804AC7B2E08A6C29834C","9/11/2013"
"","","0454BF2B39A23839C0C36DAEE764F56D","9/11/2013"
"Microsoft.WSMan.Management.dll","C:\Windows\assembly\GAC_MSIL\Microsoft.WSMan.Management\1.0.0.0__31bf3856ad364e35\Microsoft.WSMan.Management.dll","045923382F35E9C922AC8693F1240645","8/30/2013"
"","","045ACB987C650D8186C6B4A692223860","9/11/2013"
"","","045DB4EAB4FBD23210E85ECC3F464A2E","9/11/2013"
"","","045E228F71C31901084B64BE59093499","9/11/2013"
"storvsc","C:\Windows\system32\drivers\storvsc.sys","0461119FAA3C46A26B559FBA7CD207B0","9/27/2013"
"WmiPerfClass.dll","C:\Windows\system32\wbem\WmiPerfClass.dll","0464F693C59CC02CF261DE7E4D33E5B7","7/25/2013"
"","","047057D56AA7249A55708A9161E3D148","9/11/2013"
"swd_res.dll","C:\WINDOWS\system32\CCM\1033\swd_res.dll","04728D240A916E028C9E602C80DCDEB9","10/24/2013"
"","","048194939D139538AFC3B720C5944873","9/11/2013"
"","","0482A9BE0BE2098A12A61464306BF24B","9/11/2013"
"dns.exe","C:\Windows\system32\dns.exe","048F424D20666D00134F5469B01CA4A7","10/24/2013"
"","","04906A6B1DD17D38795E28AF4F4392F9","9/11/2013"
"","","0492CF5870F0E616B0C71695A433D162","9/11/2013"
"","","04973C82D4BE968EBD3554D059325C8B","9/11/2013"
"","","04990C25043705985F1EC40BF704AAAC","9/11/2013"
"","","049998505AF00B693D9E9C9AB5C11A8F","9/11/2013"
"","","049AF1FF82DB027A6DADF6C8587D6BD5","9/11/2013"
"","","049B3A50B3D646BAEEEE9EEC9B0668DC","9/11/2013"
"niVXIdd.dll","C:\Program Files\National Instruments\MAX\Data Dictionaries\niVXIdd.dll","04B69840540900F5E983BD5380716D9E","9/27/2013"
"","","04BABFBBAED385EFF8950166B506D734","9/11/2013"
"ni1033u.dll","C:\Windows\system32\ni1033u.dll","04BE0915696814BFB5A28E5EE5543A66","9/27/2013"
"SQLBOOT.DLL","c:\WINDOWS\ADMT\MSSQL$MS_ADMT\binn\SQLBOOT.DLL","04BE61D52F390690D56F1BF146C5F07D","10/24/2013"
"","","04C37D8107320312FBAE09926103D5E2","9/11/2013"
"","","04C64FF83ACA83FD8032671BDC39BC3D","9/11/2013"
"","","04C6E48ED3E3CE3140D9A0999E707694","9/11/2013"
"LIBEAY32.dll","C:\Program Files\SplunkUniversalForwarder\bin\LIBEAY32.dll","04CF942CAD5229A302AEC6AD2660F7E8","10/24/2013"
"Macromedia Licensing Service","C:\Program Files (x86)\Common Files\Macromedia Shared\Service\Macromedia Licensing.exe","04D3A71875699098AF856EE5F9F72AC3","8/30/2013"
"","","04D635A364243013898FD09484F913FB","9/11/2013"
"","","04D9D54954F06B8ED5EF030994F981E7","9/11/2013"
"","","04DA4858613E4DD6901D30DBF7A0EFB7","9/11/2013"
"","","04DBF4B01EA4BF25A9A3E84AFFAC9B20","9/11/2013"
"","","04DF0452FBEDEDF9297FD2E5440CB3C9","9/11/2013"
"Firehk","C:\Windows\system32\DRIVERS\firehk.sys","04EB7C3063834C50FEF94AE77B05CBF9","8/3/2013"
"","","04EC7CEC62EC3B6D9354EEE93327FC82","9/11/2013"
"","","04ED6818993ACA2EF887E2246B21CB66","9/11/2013"
"","","04F09184476629D8621D31D3ADD0B6FC","9/11/2013"
"","","04F882F53C50359CB39AF712C3B46738","9/11/2013"
"HcThe.dll","C:\Program Files\McAfee\Host Intrusion Prevention\HcThe.dll","04F91402625D3DD56D8782C9789AA8B8","8/30/2013"
"","","04FAE971A77E76B3F4EF44053AEE0905","9/11/2013"
"","","0503AC4BC3581BCC782EF8B38C3FD059","9/11/2013"
"","","0504EACAFF0D3C8AED161C4B0D369D4A","9/11/2013"
"HealthService.exe","C:\Program Files\System Center Operations Manager\Agent\HealthService.exe","050787ACF3A52A84BDBD9F80B82DB456","10/24/2013"
"","","0508FAA222D28835310B7BFCA7A77346","9/11/2013"
"","","050B12A317DD0D9A2A595ED8F06F0EE5","9/11/2013"
"","","050B1625FE14AF643E5D444A0AE923C1","9/11/2013"
"","","05132DE27535BE43AD2DF40B74BFEB13","9/11/2013"
"","","0517855DFA010CCC5F64C0E31184A849","9/11/2013"
"","","05200C3A9B1370AA2D8C99F1A464168B","9/11/2013"
"","","052031A92809B438683FDCF5B574234D","9/11/2013"
"","","052306FD76793D5D5AB5D9891FD1ADBB","9/11/2013"
"","","05231C04253C5BC30B26CBAAE680ED89","9/11/2013"
"","","052D4299E72FFFCCD9A168ADCDF5C450","9/11/2013"
"","","052ED3D55057B1447A62AA21B8E21DA2","9/11/2013"
"","","05345B0A7C59C86EB70998281D913447","9/11/2013"
"","","05365FB38FCA1E98F7A566AAAF5D1815","9/11/2013"
"","","053A608BCFEB5A4D0CECDDA703B08C83","9/11/2013"
"","","05411EF3E66659C63803563BB06C2E17","9/11/2013"
"Datascrn","C:\Windows\system32\drivers\datascrn.sys","05515E104AAE4FDB3DC66384FF745024","9/27/2013"
